Replicate,UC1_AssignedTextUC,UC2_AssignedTextUC,UC3_AssignedTextUC,UC4_AssignedTextUC,UC5_AssignedTextUC,UC6_AssignedTextUC,UC7_AssignedTextUC,UC8_AssignedTextUC,UC9_AssignedTextUC,UC10_AssignedTextUC,UC11_AssignedTextUC,UC12_AssignedTextUC,UC13_AssignedTextUC,UC14_AssignedTextUC,UC15_AssignedTextUC,UC16_AssignedTextUC,UC17_AssignedTextUC,UC18_AssignedTextUC,UC19_AssignedTextUC,UC20_AssignedTextUC,UC21_AssignedTextUC
1,9,17,3,19,1,12,2,5,20,14,6,18,13,16,21,10,7,8,15,4,11
2,21,3,9,5,2,1,18,13,16,17,19,11,8,10,12,7,14,6,20,4,15
3,16,7,3,13,21,17,18,4,2,10,19,20,12,9,5,15,8,11,1,14,6
4,17,16,4,15,14,11,10,18,7,21,8,6,9,5,19,3,12,1,2,20,13
5,19,3,6,17,11,12,13,10,8,15,2,21,9,18,16,5,14,4,1,7,20
6,9,1,3,15,4,8,18,2,7,13,17,21,10,14,12,20,19,5,6,11,16
7,17,8,18,12,6,21,10,2,9,4,3,5,20,19,7,14,16,15,13,1,11
8,13,18,5,9,3,11,1,15,14,20,10,4,19,16,2,8,6,17,7,21,12
9,3,18,14,7,13,5,9,2,11,20,12,4,19,15,6,8,16,21,17,10,1
10,9,1,15,3,17,8,11,20,2,19,16,12,7,13,18,10,4,5,21,6,14
11,16,19,8,20,9,2,12,15,5,1,18,21,7,11,10,6,14,13,4,17,3
12,4,11,6,7,19,16,17,15,18,3,12,14,20,8,13,2,21,5,9,10,1
13,9,14,21,5,16,15,11,12,4,3,1,8,7,17,19,10,2,18,13,6,20
14,20,18,19,8,2,17,6,21,11,16,7,5,14,3,9,13,4,12,15,1,10
15,7,8,1,5,6,13,20,11,14,17,2,16,10,4,21,3,15,18,9,19,12
16,3,12,10,18,7,16,17,11,4,9,8,15,20,5,19,2,13,14,6,21,1
17,15,1,2,6,8,5,12,21,13,9,18,17,14,16,20,7,4,10,11,3,19
18,17,7,20,5,16,1,13,18,21,11,8,6,2,10,14,3,19,15,9,12,4
19,21,8,17,5,10,14,9,15,19,13,7,11,1,18,3,2,16,6,12,20,4
20,13,16,4,2,15,6,14,10,21,19,11,9,1,12,3,20,5,18,8,17,7
21,8,4,18,3,15,12,7,9,17,16,5,10,2,11,20,1,19,21,13,14,6
22,12,17,8,5,18,20,21,11,14,7,10,13,6,9,16,2,3,19,15,1,4
23,13,21,9,15,2,5,4,19,18,8,20,12,3,11,17,16,7,1,14,6,10
24,18,16,5,1,17,2,4,7,10,8,15,21,19,3,11,14,20,12,9,13,6
25,14,6,2,15,21,19,20,11,4,3,13,12,10,16,9,8,18,5,17,1,7
26,21,16,1,8,18,10,15,17,13,20,4,9,5,6,7,3,11,19,14,2,12
27,13,20,15,19,10,7,9,17,21,2,6,16,8,5,18,12,1,14,3,4,11
28,7,8,6,20,19,13,2,21,14,16,4,17,1,15,18,5,12,11,3,10,9
29,15,3,18,17,12,11,7,9,6,1,20,13,5,8,4,21,2,16,10,14,19
30,3,14,18,6,7,17,20,19,16,11,15,2,21,8,4,5,10,9,12,1,13
31,21,12,6,9,11,19,20,15,17,8,1,3,14,10,2,16,18,7,5,4,13
32,18,1,4,3,2,19,10,6,8,20,14,7,5,9,11,21,13,16,12,17,15
33,4,12,17,5,15,13,16,21,7,2,20,18,3,8,9,1,14,6,19,11,10
34,20,13,11,5,19,18,14,16,4,12,17,10,15,3,2,6,9,21,7,1,8
35,13,15,12,18,2,4,6,16,19,17,21,7,10,8,5,3,20,9,11,1,14
36,4,14,19,21,11,18,13,16,1,2,20,3,8,6,12,9,17,5,15,7,10
37,8,14,16,17,20,11,1,21,12,10,2,13,18,9,7,3,5,4,15,6,19
38,1,20,2,9,15,13,6,3,18,19,17,16,4,12,14,7,10,21,8,11,5
39,17,19,3,18,5,9,11,16,13,14,10,15,6,2,12,20,4,8,21,1,7
40,7,12,14,18,10,19,1,15,6,21,5,11,20,13,2,9,4,16,3,8,17
41,17,1,9,15,3,5,7,20,2,18,21,11,12,6,13,14,10,4,19,8,16
42,6,8,16,3,19,15,7,5,13,2,4,9,14,21,11,20,10,18,1,12,17
43,8,3,2,11,14,5,1,21,16,20,18,9,10,7,15,4,19,17,13,12,6
44,8,16,6,18,21,20,15,14,2,1,10,13,11,9,12,4,7,17,5,3,19
