UC,QueryOccurrences,DistinctBehaviors,DistinctOwnerClasses,ModelsWithBehavior,RunsWithBehavior,CrossModelEvaluablePairs,CrossModelEmptyEmptyPairs,MeanCrossModelJaccard,MedianCrossModelJaccard,SupportGE2EvaluablePairs,SupportGE2EmptyEmptyPairs,MeanCrossModelJaccardSupportGE2
UC1,315,134,8,9,68,36,0,0.07378193428128857,0.07275132275132275,36,0,0.050309991270136196
UC2,264,104,8,9,68,36,0,0.0735561070245514,0.05941176470588235,36,0,0.06999601478768146
UC3,206,100,5,9,68,36,0,0.06246397962374198,0.054093567251461985,36,0,0.03501495780907546
UC4,112,81,4,9,65,36,0,0.015967903081747475,0.0,35,1,0.009523809523809523
UC5,114,45,1,9,65,36,0,0.049940221815221814,0.0,36,0,0.09255952380952381
UC6,101,70,6,9,45,36,0,0.009543690403003697,0.0,35,1,0.014285714285714285
UC7,4,4,3,2,4,15,21,0.0,0.0,0,36,
UC8,154,119,7,9,50,36,0,0.008451875021996973,0.0,33,3,0.022727272727272728
UC9,142,103,6,9,56,36,0,0.00571316412109251,0.0,36,0,0.023148148148148147
UC10,152,64,2,8,62,36,0,0.041128041372494414,0.0,36,0,0.019883665716999052
UC11,20,8,2,6,18,33,3,0.0404040404040404,0.0,26,10,0.11538461538461539
UC12,83,42,3,9,65,36,0,0.054165972915972915,0.0,33,3,0.022727272727272728
UC13,93,61,2,9,65,36,0,0.010618894993894993,0.0,35,1,0.007142857142857143
UC14,107,55,3,9,60,36,0,0.020149410774410775,0.0,35,1,0.03809523809523809
UC15,98,30,3,9,63,36,0,0.13407190803024138,0.125,36,0,0.12037037037037036
UC16,17,7,2,6,17,33,3,0.08838383838383838,0.0,26,10,0.11538461538461539
UC17,4,4,1,2,2,15,21,0.0,0.0,0,36,
UC18,31,22,4,4,16,26,10,0.002747252747252747,0.0,15,21,0.0
UC19,84,63,2,9,60,36,0,0.010768552435219101,0.0,26,10,0.0
UC20,158,104,5,9,65,36,0,0.018162633710501225,0.0,33,3,0.02154882154882155
UC21,110,65,4,9,66,36,0,0.026531604683245773,0.0,35,1,0.0
