Method,Model,Metric,OriginalEligibleRuns,EvaluableReplicates,AllNAReplicates,AllNARate,Mean,Median,SD,P025,P975,Min,Max
TFIDF,ChatGPT-4o,Hit1,10,2000,0,0.0,0.5794613224963201,0.5815084670190283,0.026670346076277846,0.5246987043325562,0.6263270856817249,0.469021958961868,0.6504067197170645
TFIDF,ChatGPT-4o,MRR,10,2000,0,0.0,0.7098715223641437,0.7121821889665434,0.024790575345196467,0.6553108232320359,0.750930620840208,0.5978395788188372,0.767427533415597
TFIDF,ChatGPT-o3,Hit1,8,2000,0,0.0,0.619395942621142,0.6204083318070268,0.02023664605437923,0.5771264306935515,0.6565987687050784,0.5392752776154296,0.6782333765366638
TFIDF,ChatGPT-o3,MRR,8,2000,0,0.0,0.7251290015063132,0.7257010910721344,0.011482274889414735,0.7018249789158839,0.7464743906893859,0.6826088733988578,0.7573358558258663
TFIDF,Claude3.7,Hit1,10,2000,0,0.0,0.5417861744248786,0.5407986215514976,0.017119135995116625,0.5101191543048473,0.5746593596418663,0.48517140156939115,0.6120216396417721
TFIDF,Claude3.7,MRR,10,2000,0,0.0,0.6482920822145697,0.6478359195721084,0.011641074280859823,0.6270134356388514,0.6712222387397745,0.6162369850421691,0.696564156731204
TFIDF,DeepSeek(R1),Hit1,7,2000,0,0.0,0.5452655448846205,0.5517256902761105,0.06869481074846005,0.39093775010004006,0.6488562091503268,0.23193277310924368,0.6952380952380952
TFIDF,DeepSeek(R1),MRR,7,2000,0,0.0,0.656737247378172,0.6608808506243731,0.059255379384028584,0.5185411066378766,0.7359164267230368,0.38105063470609685,0.7650470957613814
TFIDF,Gemini-2.5-Pro-Preview-05-06,Hit1,8,2000,0,0.0,0.48094614133532987,0.481010940411142,0.03238285849966894,0.41471593482682195,0.5411895161290322,0.3612567987567987,0.5736559139784947
TFIDF,Gemini-2.5-Pro-Preview-05-06,MRR,8,2000,0,0.0,0.6038343241252644,0.6040291196963778,0.028666600169577103,0.5449273219311073,0.6580758614655846,0.4982681253029675,0.6885982634329705
TFIDF,Grok3,Hit1,2,1807,193,0.0965,0.5348600594376569,0.5348557692307692,0.0027207970336724915,0.53125,0.5384615384615384,0.53125,0.5384615384615384
TFIDF,Grok3,MRR,2,1807,193,0.0965,0.6755376195794209,0.6755422962454213,0.0029658847029755287,0.6716117216117216,0.6794728708791209,0.6716117216117216,0.6794728708791209
TFIDF,Llama4,Hit1,10,2000,0,0.0,0.49191282886408844,0.49247335890878097,0.01747712290939321,0.454841432225064,0.523611111111111,0.4280926916221034,0.5386846405228758
TFIDF,Llama4,MRR,10,2000,0,0.0,0.6367560319334805,0.6371475858019975,0.013320716422468109,0.6085717382154882,0.661503921391789,0.5861449792038027,0.6773401805166511
TFIDF,Mistral,Hit1,9,2000,0,0.0,0.6448579071072874,0.6444520308123249,0.03045412774167301,0.5884317226890756,0.704249649859944,0.5607142857142857,0.7647058823529411
