Method,Model,Run,NQueries,Hit1Mean,MRRMean,Hit3Mean,Hit5Mean,TieAwareTop1Mean,MedianDeclaredRank
TFIDF,ChatGPT-4o,1,32,0.53125,0.6940611471861472,0.84375,0.875,0.53125,1.0
TFIDF,ChatGPT-4o,2,30,0.6,0.7485958485958485,0.8666666666666667,0.9333333333333333,0.6,1.0
TFIDF,ChatGPT-4o,3,31,0.5483870967741935,0.6864291622356139,0.8064516129032258,0.8387096774193549,0.5483870967741935,1
TFIDF,ChatGPT-4o,4,26,0.6538461538461539,0.7673992673992674,0.8461538461538461,0.8846153846153846,0.6538461538461539,1.0
TFIDF,ChatGPT-4o,5,11,0.36363636363636365,0.4896769896769897,0.6363636363636364,0.6363636363636364,0.36363636363636365,3
TFIDF,ChatGPT-4o,6,24,0.6666666666666666,0.7867063492063492,0.875,0.9166666666666666,0.6666666666666666,1.0
TFIDF,ChatGPT-4o,7,26,0.6153846153846154,0.7579952099182867,0.8846153846153846,0.9230769230769231,0.6153846153846154,1.0
TFIDF,ChatGPT-4o,8,16,0.625,0.7032738095238095,0.75,0.8125,0.625,1.0
TFIDF,ChatGPT-4o,9,29,0.6551724137931034,0.7671592775041051,0.8620689655172413,0.9310344827586207,0.6551724137931034,1
TFIDF,ChatGPT-4o,10,23,0.5217391304347826,0.6865742952699475,0.782608695652174,0.8695652173913043,0.5217391304347826,1
TFIDF,ChatGPT-o3,1,58,0.5862068965517241,0.7204286135320618,0.8448275862068966,0.896551724137931,0.5862068965517241,1.0
TFIDF,ChatGPT-o3,3,41,0.6829268292682927,0.759598260817773,0.8292682926829268,0.8780487804878049,0.6829268292682927,1
TFIDF,ChatGPT-o3,4,25,0.64,0.7442197802197802,0.84,0.84,0.64,1
TFIDF,ChatGPT-o3,5,36,0.6944444444444444,0.7661782661782662,0.8055555555555556,0.8611111111111112,0.6944444444444444,1.0
TFIDF,ChatGPT-o3,6,42,0.5,0.6659079016221873,0.7857142857142857,0.9047619047619048,0.5,1.5
TFIDF,ChatGPT-o3,7,46,0.6086956521739131,0.6881758639910813,0.6739130434782609,0.8043478260869565,0.6086956521739131,1.0
TFIDF,ChatGPT-o3,8,46,0.6304347826086957,0.7393998903909389,0.8260869565217391,0.8478260869565217,0.6304347826086957,1.0
TFIDF,ChatGPT-o3,9,59,0.6101694915254238,0.7161937873802281,0.7627118644067796,0.864406779661017,0.6101694915254238,1
TFIDF,Claude3.7,1,56,0.5892857142857143,0.6791384367512187,0.7321428571428571,0.7678571428571429,0.5892857142857143,1.0
TFIDF,Claude3.7,2,51,0.6274509803921569,0.7051088617265089,0.7450980392156863,0.7843137254901961,0.6283846872082167,1
TFIDF,Claude3.7,3,80,0.475,0.6172728820779324,0.725,0.8125,0.4511904761904762,2.0
TFIDF,Claude3.7,4,52,0.5192307692307693,0.6297147732496923,0.6923076923076923,0.7692307692307693,0.5192307692307693,1.0
TFIDF,Claude3.7,5,79,0.4810126582278481,0.6035818195794878,0.6708860759493671,0.7468354430379747,0.4810126582278481,2
TFIDF,Claude3.7,6,71,0.5211267605633803,0.6217397163005021,0.676056338028169,0.7746478873239436,0.5077129443326627,1
TFIDF,Claude3.7,7,62,0.5483870967741935,0.643830847279489,0.6935483870967742,0.7741935483870968,0.5330261136712751,1.0
TFIDF,Claude3.7,8,68,0.4852941176470588,0.6154509222717427,0.7205882352941176,0.7941176470588235,0.4712885154061625,2.0
TFIDF,Claude3.7,9,48,0.625,0.7110819918385708,0.75,0.8125,0.625,1.0
TFIDF,Claude3.7,10,68,0.5441176470588235,0.6541740251492573,0.7352941176470589,0.7794117647058824,0.5441176470588235,1.0
TFIDF,DeepSeek(R1),1,28,0.5357142857142857,0.695578231292517,0.8214285714285714,0.8571428571428571,0.5357142857142857,1.0
TFIDF,DeepSeek(R1),3,34,0.5882352941176471,0.7099655246714071,0.8529411764705882,0.8823529411764706,0.5882352941176471,1.0
TFIDF,DeepSeek(R1),4,34,0.5588235294117647,0.6860071301247772,0.8235294117647058,0.8823529411764706,0.5588235294117647,1.0
TFIDF,DeepSeek(R1),6,14,0.14285714285714285,0.29882191221476934,0.35714285714285715,0.42857142857142855,0.14285714285714285,10.5
TFIDF,DeepSeek(R1),7,24,0.7083333333333334,0.7788003663003663,0.8333333333333334,0.8333333333333334,0.7083333333333334,1.0
TFIDF,DeepSeek(R1),8,28,0.6428571428571429,0.7100340136054422,0.7857142857142857,0.7857142857142857,0.6428571428571429,1.0
TFIDF,DeepSeek(R1),10,20,0.65,0.7277747252747253,0.8,0.8,0.65,1.0
TFIDF,Gemini-2.5-Pro-Preview-05-06,1,54,0.5,0.6264901764901765,0.7037037037037037,0.7592592592592593,0.5,1.5
TFIDF,Gemini-2.5-Pro-Preview-05-06,2,62,0.5806451612903226,0.6761360029386595,0.7419354838709677,0.7741935483870968,0.5806451612903226,1.0
TFIDF,Gemini-2.5-Pro-Preview-05-06,3,36,0.5833333333333334,0.7159339503089504,0.8055555555555556,0.8055555555555556,0.5833333333333334,1.0
TFIDF,Gemini-2.5-Pro-Preview-05-06,4,32,0.3125,0.4471710581085581,0.46875,0.59375,0.3125,4.0
TFIDF,Gemini-2.5-Pro-Preview-05-06,5,33,0.36363636363636365,0.5157095677149154,0.6060606060606061,0.6666666666666666,0.36363636363636365,2
TFIDF,Gemini-2.5-Pro-Preview-05-06,8,15,0.5333333333333333,0.6423792873792873,0.6666666666666666,0.7333333333333333,0.5333333333333333,1
TFIDF,Gemini-2.5-Pro-Preview-05-06,9,39,0.46153846153846156,0.5906485252639099,0.6410256410256411,0.7435897435897436,0.46153846153846156,2
TFIDF,Gemini-2.5-Pro-Preview-05-06,10,39,0.5128205128205128,0.6160037256191102,0.6410256410256411,0.7435897435897436,0.5128205128205128,1
TFIDF,Grok3,2,32,0.53125,0.6794728708791209,0.78125,0.875,0.53125,1.0
TFIDF,Grok3,5,26,0.5384615384615384,0.6716117216117217,0.8461538461538461,0.8461538461538461,0.5384615384615384,1.0
TFIDF,Llama4,1,20,0.5,0.6471428571428571,0.75,0.8,0.5,1.5
TFIDF,Llama4,2,30,0.4666666666666667,0.6148412698412699,0.7,0.8,0.43492063492063493,2.0
TFIDF,Llama4,3,23,0.43478260869565216,0.6214285714285714,0.782608695652174,0.8260869565217391,0.43478260869565216,2
TFIDF,Llama4,4,20,0.5,0.6167857142857143,0.65,0.75,0.5,1.5
TFIDF,Llama4,5,17,0.5294117647058824,0.6850140056022409,0.8235294117647058,0.8235294117647058,0.4733893557422969,1
TFIDF,Llama4,6,16,0.5625,0.680952380952381,0.75,0.8125,0.5029761904761905,1.0
TFIDF,Llama4,7,22,0.5,0.6385281385281385,0.8181818181818182,0.8636363636363636,0.5,1.5
TFIDF,Llama4,8,22,0.36363636363636365,0.5374458874458875,0.6363636363636364,0.7727272727272727,0.36363636363636365,2.0
TFIDF,Llama4,9,18,0.5555555555555556,0.6906084656084656,0.7777777777777778,0.8888888888888888,0.5555555555555556,1.0
TFIDF,Llama4,10,26,0.5,0.6297619047619047,0.7307692307692307,0.7692307692307693,0.5,1.5
TFIDF,Mistral,1,21,0.5714285714285714,0.6733560090702948,0.6666666666666666,0.8095238095238095,0.5714285714285714,1
TFIDF,Mistral,3,20,0.6,0.704047619047619,0.75,0.85,0.6,1.0
TFIDF,Mistral,4,20,0.55,0.6695238095238095,0.7,0.8,0.55,1.0
TFIDF,Mistral,5,21,0.5714285714285714,0.7022675736961451,0.7619047619047619,0.8571428571428571,0.5714285714285714,1
TFIDF,Mistral,6,20,0.55,0.6695238095238095,0.7,0.8,0.55,1.0
TFIDF,Mistral,7,18,0.6666666666666666,0.725352733686067,0.7222222222222222,0.7777777777777778,0.6666666666666666,1.0
TFIDF,Mistral,8,17,0.7647058823529411,0.8093370681605976,0.8235294117647058,0.8235294117647058,0.7647058823529411,1
TFIDF,Mistral,9,17,0.7647058823529411,0.8093370681605976,0.8235294117647058,0.8235294117647058,0.7647058823529411,1
TFIDF,Mistral,10,17,0.7647058823529411,0.8093370681605976,0.8235294117647058,0.8235294117647058,0.7647058823529411,1
TFIDF,Qwen3,1,34,0.5882352941176471,0.7112960568842922,0.8235294117647058,0.8529411764705882,0.5882352941176471,1.0
TFIDF,Qwen3,3,56,0.5714285714285714,0.692706797171083,0.8035714285714286,0.8214285714285714,0.5714285714285714,1.0
TFIDF,Qwen3,5,31,0.7096774193548387,0.7853302611367128,0.8387096774193549,0.8709677419354839,0.7096774193548387,1
TFIDF,Qwen3,9,37,0.6486486486486487,0.7577337077337077,0.8648648648648649,0.8648648648648649,0.6486486486486487,1
TFIDF,Qwen3,10,40,0.425,0.6017460317460317,0.75,0.8,0.425,2.0
MPNET,ChatGPT-4o,1,32,0.65625,0.7609900210084034,0.84375,0.875,0.65625,1.0
MPNET,ChatGPT-4o,2,30,0.6666666666666666,0.7923099415204679,0.9333333333333333,0.9333333333333333,0.6666666666666666,1.0
MPNET,ChatGPT-4o,3,31,0.6129032258064516,0.7181933327943514,0.8064516129032258,0.8387096774193549,0.6129032258064516,1
MPNET,ChatGPT-4o,4,26,0.7692307692307693,0.8332742914979756,0.8846153846153846,0.8846153846153846,0.7692307692307693,1.0
MPNET,ChatGPT-4o,5,11,0.36363636363636365,0.4674688057040999,0.45454545454545453,0.6363636363636364,0.36363636363636365,5
MPNET,ChatGPT-4o,6,24,0.7916666666666666,0.851498538011696,0.9166666666666666,0.9166666666666666,0.7916666666666666,1.0
MPNET,ChatGPT-4o,7,26,0.8076923076923077,0.869331983805668,0.9230769230769231,0.9230769230769231,0.8076923076923077,1.0
MPNET,ChatGPT-4o,8,16,0.6875,0.7607456140350877,0.8125,0.8125,0.6875,1.0
MPNET,ChatGPT-4o,9,29,0.7931034482758621,0.859688013136289,0.9310344827586207,0.9310344827586207,0.7931034482758621,1
MPNET,ChatGPT-4o,10,23,0.6956521739130435,0.7906941266209001,0.8695652173913043,0.8695652173913043,0.6956521739130435,1
MPNET,ChatGPT-o3,1,58,0.6724137931034483,0.7671557042473558,0.8448275862068966,0.8793103448275862,0.6724137931034483,1.0
MPNET,ChatGPT-o3,3,41,0.6097560975609756,0.709431646658861,0.8048780487804879,0.8536585365853658,0.6097560975609756,1
MPNET,ChatGPT-o3,4,25,0.64,0.7169084967320262,0.76,0.8,0.64,1
MPNET,ChatGPT-o3,5,36,0.6388888888888888,0.7241480712842941,0.75,0.8611111111111112,0.6388888888888888,1.0
