Condition,Method,AnchorMethod,QueryCount,EligibleCells,ZeroQueryCells,Hit1EqualCellMacro,MRREqualCellMacro,Hit3EqualCellMacro,Hit5EqualCellMacro,Hit1Micro,MRRMicro,DeltaHit1Macro,DeltaMRRMacro,DeltaHit1Micro,DeltaMRRMicro
primary_anchor,TFIDF,TFIDF,2369,69,21,0.5587447835273328,0.6759566897966709,0.7552200399167359,0.8119698788953363,0.5559307724778387,0.6729632034532667,0.0,0.0,0.0,0.0
primary_anchor,MPNET,MPNET,2369,69,21,0.6331853250339536,0.7228516593134541,0.7863258835353714,0.8188868591301723,0.6171380329252849,0.7135892302294436,0.0,0.0,0.0,0.0
req_title_description,TFIDF,TFIDF,2369,69,21,0.3372833813702175,0.5113094604537171,0.6311008905244857,0.7044550621447034,0.33051920641620935,0.5013184665899459,-0.2214614021571153,-0.16464722934295384,-0.22541156606162938,-0.1716447368633207
req_title_description,MPNET,MPNET,2369,69,21,0.6189811078567816,0.7032357236295042,0.7663340564950387,0.8183554987742641,0.5956099620092866,0.6894792458918123,-0.014204217177172018,-0.019615935683949925,-0.021528070915998287,-0.02410998433763134
req_with_extensions,TFIDF,TFIDF,2369,69,21,0.5415161711378738,0.6710155734074355,0.7735188560943844,0.8160211414533162,0.5449556775010553,0.6709406539827242,-0.017228612389459053,-0.004941116389235445,-0.010975094976783395,-0.0020225494705424785
req_with_extensions,MPNET,MPNET,2369,69,21,0.631956158724599,0.7201901160698229,0.7848416202047845,0.8117734130424333,0.6103841283241874,0.7068037127126114,-0.0012291663093546568,-0.0026615432436312148,-0.006753904601097482,-0.006785517516832207
behavior_method_only,TFIDF,TFIDF,2369,69,21,0.44280762717031075,0.5686385566918271,0.6432636416276012,0.7101466334499517,0.4444913465597298,0.5690401690721547,-0.11593715635702206,-0.10731813310484384,-0.1114394259181089,-0.10392303438111195
behavior_method_only,MPNET,MPNET,2369,69,21,0.5041236436252687,0.627414028328772,0.6870059300146761,0.8031531514156445,0.480793583790629,0.6088139530597387,-0.1290616814086849,-0.09543763098468205,-0.13634444913465593,-0.10477527716970492
behavior_class_method,TFIDF,TFIDF,2369,69,21,0.5031611984523425,0.647722592789213,0.7868906963365649,0.8107275311040838,0.5040101308569016,0.6468090270318516,-0.05558358507499028,-0.028234097007457937,-0.051920641620937125,-0.026154176421415043
behavior_class_method,MPNET,MPNET,2369,69,21,0.6561772639307545,0.7383486560042034,0.789737248549388,0.8216064658792226,0.6386661038412832,0.7273271592440795,0.022991938896800845,0.015496996690749332,0.021528070915998287,0.013737929014635886
minilm_primary,MINILM,MPNET,2369,69,21,0.6613131565982322,0.7456733862537096,0.8094292878161278,0.8311266739309049,0.6483748417053609,0.7390149211881841,0.02812783156427856,0.022821726940255527,0.031236808780075953,0.025425690958740477
include_off_scaffold,TFIDF,TFIDF,2393,69,21,0.5585026237342641,0.6762873642178024,0.7566805344413176,0.8143963461509689,0.5536982866694525,0.671677422233611,-0.00024215979306874136,0.0003306744211315493,-0.0022324858083861976,-0.0012857812196556129
include_off_scaffold,MPNET,MPNET,2393,69,21,0.6348326956042047,0.724587193479611,0.7878653832454982,0.8212480964239058,0.6167989970748015,0.7135783060650029,0.0016473705702511054,0.0017355341661569046,-0.000339035850483449,-1.092416444070654e-05
raw_rows_no_dedup,TFIDF,TFIDF,2384,69,21,0.5589271866049701,0.6761955114885818,0.75570092075778,0.8122020282668748,0.5553691275167785,0.6729016141058757,0.00018240307763728314,0.00023882169191091762,-0.0005616449610602592,-6.158934739097788e-05
raw_rows_no_dedup,MPNET,MPNET,2384,69,21,0.6331521608380195,0.7229428105017729,0.7865580329069098,0.8191190085017108,0.6178691275167785,0.7141872655492544,-3.3164195934132223e-05,9.115118831881652e-05,0.000731094591493564,0.0005980353198107302
