QueryID,Model,Run,File,ClassRaw,ClassCanonical,MethodName,Signature,DeclaredUC,CollapsedSourceRows,FirstSourceRow,QueryText
Q000001,ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionPoint,CollectionPoint,updateDetails,+ updateDetails () : ValidationResult,20,1,1,Class: Collection Point. Method: update Details. Signature: update Details Validation Result.
Q000002,ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionRequest,CollectionRequest,assignCollection,+ assignCollection (provider : ServiceProvider),8,1,3,Class: Collection Request. Method: assign Collection. Signature: assign Collection provider Service Provider.
Q000003,ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionRequest,CollectionRequest,markAsCollected,+ markAsCollected (),8,1,4,Class: Collection Request. Method: mark As Collected. Signature: mark As Collected.
Q000004,ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,NotificationService,notifyDeactivation,+ notifyDeactivation (user : UserProfile),15,1,5,Class: Notification Service. Method: notify Deactivation. Signature: notify Deactivation user User Profile.
Q000005,ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,NotificationService,notifyRequestAccepted,+ notifyRequestAccepted (user : UserProfile),8,1,6,Class: Notification Service. Method: notify Request Accepted. Signature: notify Request Accepted user User Profile.
Q000006,ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,NotificationService,sendResetLink,+ sendResetLink (user : UserCredentials),3,1,7,Class: Notification Service. Method: send Reset Link. Signature: send Reset Link user User Credentials.
Q000007,ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,NotificationService,sendVerificationEmail,+ sendVerificationEmail (user : UserProfile),1,1,8,Class: Notification Service. Method: send Verification Email. Signature: send Verification Email user User Profile.
Q000008,ChatGPT-4o,1,ChatGPT-4o_run1.json,Product,Product,createListing,+ createListing () : ValidationResult,5,1,9,Class: Product. Method: create Listing. Signature: create Listing Validation Result.
Q000009,ChatGPT-4o,1,ChatGPT-4o_run1.json,Product,Product,updateListing,+ updateListing () : ValidationResult,13,1,10,Class: Product. Method: update Listing. Signature: update Listing Validation Result.
Q000010,ChatGPT-4o,1,ChatGPT-4o_run1.json,RoleManager,RoleManager,assignRole,"+ assignRole (profile : UserProfile, role : UserRole) : ValidationResult",21,1,11,Class: Role Manager. Method: assign Role. Signature: assign Role profile User Profile role User Role Validation Result.
Q000011,ChatGPT-4o,1,ChatGPT-4o_run1.json,RoutePlan,RoutePlan,defineRoute,+ defineRoute (points : Coordinates[]),9,1,12,Class: Route Plan. Method: define Route. Signature: define Route points Coordinates.
Q000012,ChatGPT-4o,1,ChatGPT-4o_run1.json,SearchFilter,SearchFilter,apply,+ apply () : Product[],14,1,13,Class: Search Filter. Method: apply. Signature: apply Product.
Q000013,ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceProvider,ServiceProvider,updateServiceDetails,+ updateServiceDetails () : ValidationResult,19,1,14,Class: Service Provider. Method: update Service Details. Signature: update Service Details Validation Result.
Q000014,ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceRequest,ServiceRequest,cancelRequest,+ cancelRequest (user : UserProfile),12,1,15,Class: Service Request. Method: cancel Request. Signature: cancel Request user User Profile.
Q000015,ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceRequest,ServiceRequest,submitRequest,+ submitRequest () : ValidationResult,6,1,16,Class: Service Request. Method: submit Request. Signature: submit Request Validation Result.
Q000016,ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceRequest,ServiceRequest,viewStatus,+ viewStatus () : RequestStatus,11,1,17,Class: Service Request. Method: view Status. Signature: view Status Request Status.
Q000017,ChatGPT-4o,1,ChatGPT-4o_run1.json,TransportRequest,TransportRequest,assignTransport,+ assignTransport (provider : ServiceProvider),9,1,18,Class: Transport Request. Method: assign Transport. Signature: assign Transport provider Service Provider.
Q000018,ChatGPT-4o,1,ChatGPT-4o_run1.json,TransportRequest,TransportRequest,completeTransport,+ completeTransport (),9,1,19,Class: Transport Request. Method: complete Transport. Signature: complete Transport.
Q000019,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,UserAccount,activateAccount,+ activateAccount (),1,1,20,Class: User Account. Method: activate Account. Signature: activate Account.
Q000020,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,UserAccount,createAccount,+ createAccount () : ValidationResult,1,1,21,Class: User Account. Method: create Account. Signature: create Account Validation Result.
Q000021,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,UserAccount,deactivateAccount,+ deactivateAccount (reason : String),15,1,22,Class: User Account. Method: deactivate Account. Signature: deactivate Account reason String.
Q000022,ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,UserAccount,lockAccount,+ lockAccount (),2,1,23,Class: User Account. Method: lock Account. Signature: lock Account.
