Model,Run,File,Class,MethodName,Signature,Has_UC_Annotation,UC_References,UC_Action
ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionPoint,updateDetails,+ updateDetails () : ValidationResult,True,20,Update collection point name/type/hours
ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionPoint,viewPointInfo,+ viewPointInfo () : String,True,22,Display collection/recycling point info
ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionRequest,assignCollection,+ assignCollection (provider : ServiceProvider),True,8,Assign provider to collection request
ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionRequest,markAsCollected,+ markAsCollected (),True,8,Update collection request as completed
ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,notifyDeactivation,+ notifyDeactivation (user : UserProfile),True,15,Email account deactivation confirmation
ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,notifyRequestAccepted,+ notifyRequestAccepted (user : UserProfile),True,8,Notify user of request acceptance
ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,sendResetLink,+ sendResetLink (user : UserCredentials),True,3,Email password reset link
ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,sendVerificationEmail,+ sendVerificationEmail (user : UserProfile),True,1,Send email verification link
ChatGPT-4o,1,ChatGPT-4o_run1.json,Product,createListing,+ createListing () : ValidationResult,True,5,List new recyclable product
ChatGPT-4o,1,ChatGPT-4o_run1.json,Product,updateListing,+ updateListing () : ValidationResult,True,13,Edit recyclable product details
ChatGPT-4o,1,ChatGPT-4o_run1.json,RoleManager,assignRole,"+ assignRole (profile : UserProfile, role : UserRole) : ValidationResult",True,21,Assign new role to a user
ChatGPT-4o,1,ChatGPT-4o_run1.json,RoutePlan,defineRoute,+ defineRoute (points : Coordinates[]),True,9,Define vehicle route
ChatGPT-4o,1,ChatGPT-4o_run1.json,SearchFilter,apply,+ apply () : Product[],True,14,Filter and retrieve product listings
ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceProvider,updateServiceDetails,+ updateServiceDetails () : ValidationResult,True,19,"Update vehicle types, availability, and service areas"
ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceRequest,cancelRequest,+ cancelRequest (user : UserProfile),True,12,Cancel service request if not fulfilled
ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceRequest,submitRequest,+ submitRequest () : ValidationResult,True,6,Submit new service request
ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceRequest,viewStatus,+ viewStatus () : RequestStatus,True,11,View request status
ChatGPT-4o,1,ChatGPT-4o_run1.json,TransportRequest,assignTransport,+ assignTransport (provider : ServiceProvider),True,9,Assign provider to transport request
ChatGPT-4o,1,ChatGPT-4o_run1.json,TransportRequest,completeTransport,+ completeTransport (),True,9,Mark transport as completed
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,activateAccount,+ activateAccount (),True,1,Mark account as active after email verification
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,createAccount,+ createAccount () : ValidationResult,True,1,Create user account with unverified status
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,deactivateAccount,+ deactivateAccount (reason : String),True,15,Deactivate account with reason
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,lockAccount,+ lockAccount (),True,2,Lock account after multiple failed login attempts
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,confirmPasswordReset,+ confirmPasswordReset (),True,3,Confirm and finalize password reset
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,generateResetToken,+ generateResetToken (),True,3,Generate password reset token
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,recordFailedAttempt,+ recordFailedAttempt (),True,2,Increment failed login counter
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,recordLogin,+ recordLogin (),True,2,Record successful login time
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,resetPassword,+ resetPassword (newPassword : String),True,3,Reset password using valid token
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,validateCredentials,+ validateCredentials (password : String) : Boolean,True,2,Validate login credentials
